#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.0495	0	0.005	-4.482686425705087e-06	0	-4.482686425705087e-06
2	-0.0485	0	0.005	0.0001474385805241495	0	0.0001474385805241495
3	-0.0475	0	0.005	9.884902367377708e-06	0	9.884902367377708e-06
4	-0.0465	0	0.005	9.777690600936147e-05	0	9.777690600936147e-05
5	-0.0455	0	0.005	-5.095652737510126e-05	0	-5.095652737510126e-05
6	-0.0445	0	0.005	-0.0001744327093499804	0	-0.0001744327093499804
7	-0.0435	0	0.005	-0.0002369650419102876	0	-0.0002369650419102876
8	-0.0425	0	0.005	-6.983811633316255e-05	0	-6.983811633316255e-05
9	-0.0415	0	0.005	4.762010724697485e-05	0	4.762010724697485e-05
10	-0.0405	0	0.005	1.916491425038178e-05	0	1.916491425038178e-05
11	-0.0395	0	0.005	0.0002192337677815107	0	0.0002192337677815107
12	-0.0385	0	0.005	-3.579550205096969e-05	0	-3.579550205096969e-05
13	-0.0375	0	0.005	-5.940391959799023e-08	0	-5.940391959799023e-08
14	-0.0365	0	0.005	-6.288386365934305e-08	0	-6.288386365934305e-08
15	-0.0355	0	0.005	-6.632505955457453e-08	0	-6.632505955457453e-08
16	-0.0345	0	0.005	-7.579323450624449e-08	0	-7.579323450624449e-08
17	-0.0335	0	0.005	-7.651979485248691e-08	0	-7.651979485248691e-08
18	-0.0325	0	0.005	-9.2905499201054e-08	0	-9.2905499201054e-08
19	-0.0315	0	0.005	-1.005519663086922e-07	0	-1.005519663086922e-07
20	-0.0305	0	0.005	-1.136998766935005e-07	0	-1.136998766935005e-07
21	-0.0295	0	0.005	-1.275350487740218e-07	0	-1.275350487740218e-07
22	-0.0285	0	0.005	-1.407358372468205e-07	0	-1.407358372468205e-07
23	-0.0275	0	0.005	-1.532632320089385e-07	0	-1.532632320089385e-07
24	-0.0265	0	0.005	-1.651007222613889e-07	0	-1.651007222613889e-07
25	-0.0255	0	0.005	-1.781532233227876e-07	0	-1.781532233227876e-07
26	-0.0245	0	0.005	-1.900189629324292e-07	0	-1.900189629324292e-07
27	-0.0235	0	0.005	-2.096043319813313e-07	0	-2.096043319813313e-07
28	-0.0225	0	0.005	-2.367863927323555e-07	0	-2.367863927323555e-07
29	-0.0215	0	0.005	-2.689920865450709e-07	0	-2.689920865450709e-07
30	-0.0205	0	0.005	-3.056990912462102e-07	0	-3.056990912462102e-07
31	-0.0195	0	0.005	-3.536513520014227e-07	0	-3.536513520014227e-07
32	-0.0185	0	0.005	-4.027349028723242e-07	0	-4.027349028723242e-07
33	-0.0175	0	0.005	-4.594038513469867e-07	0	-4.594038513469867e-07
34	-0.0165	0	0.005	-5.287867003767415e-07	0	-5.287867003767415e-07
35	-0.0155	0	0.005	-6.041700331889039e-07	0	-6.041700331889039e-07
36	-0.0145	0	0.005	-6.952733511872062e-07	0	-6.952733511872062e-07
37	-0.0135	0	0.005	-8.005595820883978e-07	0	-8.005595820883978e-07
38	-0.0125	0	0.005	-9.304490618994126e-07	0	-9.304490618994126e-07
39	-0.0115	0	0.005	-1.082997381385359e-06	0	-1.082997381385359e-06
40	-0.0105	0	0.005	-1.285401716698662e-06	0	-1.285401716698662e-06
41	-0.0095	0	0.005	-1.525754578160575e-06	0	-1.525754578160575e-06
42	-0.0085	0	0.005	-1.823112264486046e-06	0	-1.823112264486046e-06
43	-0.0075	0	0.005	-2.193724505034115e-06	0	-2.193724505034115e-06
44	-0.0065	0	0.005	-2.646619456433346e-06	0	-2.646619456433346e-06
45	-0.0055	0	0.005	-7.693006375526709e-06	0	-7.693006375526709e-06
46	-0.0045	0	0.005	0.0001435682448390081	0	0.0001435682448390081
47	-0.0035	0	0.005	5.266851588103132e-06	0	5.266851588103132e-06
48	-0.0025	0	0.005	9.239936259646444e-05	0	9.239936259646444e-05
49	-0.0015	0	0.005	-5.698719157006038e-05	0	-5.698719157006038e-05
50	-0.0005	0	0.005	-0.000180851648269572	0	-0.000180851648269572
51	0.0005	0	0.005	-0.0002433795719556658	0	-0.0002433795719556658
52	0.0015	0	0.005	-7.58596145237731e-05	0	-7.58596145237731e-05
53	0.0025	0	0.005	4.225996826071707e-05	0	4.225996826071707e-05
54	0.0035	0	0.005	1.457536463017384e-05	0	1.457536463017384e-05
55	0.0045	0	0.005	0.0002153966344797644	0	0.0002153966344797644
56	0.0055	0	0.005	-3.895970528743744e-05	0	-3.895970528743744e-05
57	0.0065	0	0.005	-2.654964472038849e-06	0	-2.654964472038849e-06
58	0.0075	0	0.005	-2.192461143203137e-06	0	-2.192461143203137e-06
59	0.0085	0	0.005	-1.820588172767843e-06	0	-1.820588172767843e-06
60	0.0095	0	0.005	-1.523027029789658e-06	0	-1.523027029789658e-06
61	0.0105	0	0.005	-1.278803811904613e-06	0	-1.278803811904613e-06
62	0.0115	0	0.005	-1.090213602533194e-06	0	-1.090213602533194e-06
63	0.0125	0	0.005	-9.301494684112418e-07	0	-9.301494684112418e-07
64	0.0135	0	0.005	-8.027181641102733e-07	0	-8.027181641102733e-07
65	0.0145	0	0.005	-6.941982159609732e-07	0	-6.941982159609732e-07
66	0.0155	0	0.005	-6.055877512631666e-07	0	-6.055877512631666e-07
67	0.0165	0	0.005	-5.270009300472653e-07	0	-5.270009300472653e-07
68	0.0175	0	0.005	-4.623422901171912e-07	0	-4.623422901171912e-07
69	0.0185	0	0.005	-4.035783159727918e-07	0	-4.035783159727918e-07
70	0.0195	0	0.005	-3.503411277039497e-07	0	-3.503411277039497e-07
71	0.0205	0	0.005	-3.070463449406253e-07	0	-3.070463449406253e-07
72	0.0215	0	0.005	-2.684986990701387e-07	0	-2.684986990701387e-07
73	0.0225	0	0.005	-2.373529279433124e-07	0	-2.373529279433124e-07
74	0.0235	0	0.005	-2.096936247486413e-07	0	-2.096936247486413e-07
75	0.0245	0	0.005	-1.918849460537436e-07	0	-1.918849460537436e-07
76	0.0255	0	0.005	-1.766482292577597e-07	0	-1.766482292577597e-07
77	0.0265	0	0.005	-1.621707781545194e-07	0	-1.621707781545194e-07
78	0.0275	0	0.005	-1.537104251807255e-07	0	-1.537104251807255e-07
79	0.0285	0	0.005	-1.411738590858983e-07	0	-1.411738590858983e-07
80	0.0295	0	0.005	-1.268189454161232e-07	0	-1.268189454161232e-07
81	0.0305	0	0.005	-1.123327250698643e-07	0	-1.123327250698643e-07
82	0.0315	0	0.005	-1.029012251743401e-07	0	-1.029012251743401e-07
83	0.0325	0	0.005	-8.304286397162235e-08	0	-8.304286397162235e-08
84	0.0335	0	0.005	-8.565582680316927e-08	0	-8.565582680316927e-08
85	0.0345	0	0.005	-7.547714397637731e-08	0	-7.547714397637731e-08
86	0.0355	0	0.005	-6.710733636342582e-08	0	-6.710733636342582e-08
87	0.0365	0	0.005	-6.441933522989427e-08	0	-6.441933522989427e-08
88	0.0375	0	0.005	-4.777849140954318e-08	0	-4.777849140954318e-08
89	0.0385	0	0.005	-4.52793483842759e-06	0	-4.52793483842759e-06
90	0.0395	0	0.005	0.0001474052865738555	0	0.0001474052865738555
91	0.0405	0	0.005	9.857351941364349e-06	0	9.857351941364349e-06
92	0.0415	0	0.005	9.775713364052008e-05	0	9.775713364052008e-05
93	0.0425	0	0.005	-5.096681253493997e-05	0	-5.096681253493997e-05
94	0.0435	0	0.005	-0.0001744366159872404	0	-0.0001744366159872404
95	0.0445	0	0.005	-0.0002369605754520991	0	-0.0002369605754520991
96	0.0455	0	0.005	-6.982927750105551e-05	0	-6.982927750105551e-05
97	0.0465	0	0.005	4.763708318526109e-05	0	4.763708318526109e-05
98	0.0475	0	0.005	1.91900922452355e-05	0	1.91900922452355e-05
99	0.0485	0	0.005	0.000219270712419439	0	0.000219270712419439
100	0.0495	0	0.005	-3.574772595653764e-05	0	-3.574772595653764e-05
101	-0.0495	0	-0.005	-4.482685308847018e-06	0	-4.482685308847018e-06
102	-0.0485	0	-0.005	0.0001474385698386288	0	0.0001474385698386288
103	-0.0475	0	-0.005	9.884938397131297e-06	0	9.884938397131297e-06
104	-0.0465	0	-0.005	9.777687508532454e-05	0	9.777687508532454e-05
105	-0.0455	0	-0.005	-5.095653382982915e-05	0	-5.095653382982915e-05
106	-0.0445	0	-0.005	-0.0001744327010443511	0	-0.0001744327010443511
107	-0.0435	0	-0.005	-0.0002369650633154602	0	-0.0002369650633154602
108	-0.0425	0	-0.005	-6.98380888414916e-05	0	-6.98380888414916e-05
109	-0.0415	0	-0.005	4.762011260552864e-05	0	4.762011260552864e-05
110	-0.0405	0	-0.005	1.916491661987833e-05	0	1.916491661987833e-05
111	-0.0395	0	-0.005	0.0002192337531510851	0	0.0002192337531510851
112	-0.0385	0	-0.005	-3.579549862696316e-05	0	-3.579549862696316e-05
113	-0.0375	0	-0.005	-5.940391977552273e-08	0	-5.940391977552273e-08
114	-0.0365	0	-0.005	-6.288386186481441e-08	0	-6.288386186481441e-08
115	-0.0355	0	-0.005	-6.632506052206222e-08	0	-6.632506052206222e-08
116	-0.0345	0	-0.005	-7.579323164689051e-08	0	-7.579323164689051e-08
117	-0.0335	0	-0.005	-7.651979389638574e-08	0	-7.651979389638574e-08
118	-0.0325	0	-0.005	-9.290549898199461e-08	0	-9.290549898199461e-08
119	-0.0315	0	-0.005	-1.005519620995486e-07	0	-1.005519620995486e-07
120	-0.0305	0	-0.005	-1.136998769698887e-07	0	-1.136998769698887e-07
121	-0.0295	0	-0.005	-1.275350590581057e-07	0	-1.275350590581057e-07
122	-0.0285	0	-0.005	-1.407358331814127e-07	0	-1.407358331814127e-07
123	-0.0275	0	-0.005	-1.532632333621649e-07	0	-1.532632333621649e-07
124	-0.0265	0	-0.005	-1.651007127416761e-07	0	-1.651007127416761e-07
125	-0.0255	0	-0.005	-1.781532429729849e-07	0	-1.781532429729849e-07
126	-0.0245	0	-0.005	-1.900189599018971e-07	0	-1.900189599018971e-07
127	-0.0235	0	-0.005	-2.096043285160733e-07	0	-2.096043285160733e-07
128	-0.0225	0	-0.005	-2.367863943889691e-07	0	-2.367863943889691e-07
129	-0.0215	0	-0.005	-2.68992084265065e-07	0	-2.68992084265065e-07
130	-0.0205	0	-0.005	-3.056990882601373e-07	0	-3.056990882601373e-07
131	-0.0195	0	-0.005	-3.536513488041213e-07	0	-3.536513488041213e-07
132	-0.0185	0	-0.005	-4.027348998934387e-07	0	-4.027348998934387e-07
133	-0.0175	0	-0.005	-4.594038423560484e-07	0	-4.594038423560484e-07
134	-0.0165	0	-0.005	-5.287866963835048e-07	0	-5.287866963835048e-07
135	-0.0155	0	-0.005	-6.041700351767332e-07	0	-6.041700351767332e-07
136	-0.0145	0	-0.005	-6.952733577485903e-07	0	-6.952733577485903e-07
137	-0.0135	0	-0.005	-8.005595819153585e-07	0	-8.005595819153585e-07
138	-0.0125	0	-0.005	-9.304490594810591e-07	0	-9.304490594810591e-07
139	-0.0115	0	-0.005	-1.082997381436581e-06	0	-1.082997381436581e-06
140	-0.0105	0	-0.005	-1.285401712229331e-06	0	-1.285401712229331e-06
141	-0.0095	0	-0.005	-1.525754594011404e-06	0	-1.525754594011404e-06
142	-0.0085	0	-0.005	-1.823112265900453e-06	0	-1.823112265900453e-06
143	-0.0075	0	-0.005	-2.193724506041076e-06	0	-2.193724506041076e-06
144	-0.0065	0	-0.005	-2.64661945906199e-06	0	-2.64661945906199e-06
145	-0.0055	0	-0.005	-7.69300524537354e-06	0	-7.69300524537354e-06
146	-0.0045	0	-0.005	0.0001435682341479364	0	0.0001435682341479364
147	-0.0035	0	-0.005	5.266887618030498e-06	0	5.266887618030498e-06
148	-0.0025	0	-0.005	9.239933167329047e-05	0	9.239933167329047e-05
149	-0.0015	0	-0.005	-5.698719802491549e-05	0	-5.698719802491549e-05
150	-0.0005	0	-0.005	-0.000180851639964107	0	-0.000180851639964107
151	0.0005	0	-0.005	-0.0002433795933611065	0	-0.0002433795933611065
152	0.0015	0	-0.005	-7.585958703324532e-05	0	-7.585958703324532e-05
153	0.0025	0	-0.005	4.225997361898246e-05	0	4.225997361898246e-05
154	0.0035	0	-0.005	1.457536699957368e-05	0	1.457536699957368e-05
155	0.0045	0	-0.005	0.0002153966198492069	0	0.0002153966198492069
156	0.0055	0	-0.005	-3.895970186235258e-05	0	-3.895970186235258e-05
157	0.0065	0	-0.005	-2.65496447204769e-06	0	-2.65496447204769e-06
158	0.0075	0	-0.005	-2.192461142234148e-06	0	-2.192461142234148e-06
159	0.0085	0	-0.005	-1.820588172150619e-06	0	-1.820588172150619e-06
160	0.0095	0	-0.005	-1.523027028980743e-06	0	-1.523027028980743e-06
161	0.0105	0	-0.005	-1.278803811032941e-06	0	-1.278803811032941e-06
162	0.0115	0	-0.005	-1.090213601083724e-06	0	-1.090213601083724e-06
163	0.0125	0	-0.005	-9.301494663360852e-07	0	-9.301494663360852e-07
164	0.0135	0	-0.005	-8.027181592173777e-07	0	-8.027181592173777e-07
165	0.0145	0	-0.005	-6.941982367153594e-07	0	-6.941982367153594e-07
166	0.0155	0	-0.005	-6.055877465130483e-07	0	-6.055877465130483e-07
167	0.0165	0	-0.005	-5.270009302285879e-07	0	-5.270009302285879e-07
168	0.0175	0	-0.005	-4.623422852363675e-07	0	-4.623422852363675e-07
169	0.0185	0	-0.005	-4.035783291327854e-07	0	-4.035783291327854e-07
170	0.0195	0	-0.005	-3.503411256551764e-07	0	-3.503411256551764e-07
171	0.0205	0	-0.005	-3.070463417326535e-07	0	-3.070463417326535e-07
172	0.0215	0	-0.005	-2.684987047614791e-07	0	-2.684987047614791e-07
173	0.0225	0	-0.005	-2.373528995462153e-07	0	-2.373528995462153e-07
174	0.0235	0	-0.005	-2.096936241569963e-07	0	-2.096936241569963e-07
175	0.0245	0	-0.005	-1.918849435994825e-07	0	-1.918849435994825e-07
176	0.0255	0	-0.005	-1.766482209368361e-07	0	-1.766482209368361e-07
177	0.0265	0	-0.005	-1.621707957732929e-07	0	-1.621707957732929e-07
178	0.0275	0	-0.005	-1.537104207038503e-07	0	-1.537104207038503e-07
179	0.0285	0	-0.005	-1.41173860087031e-07	0	-1.41173860087031e-07
180	0.0295	0	-0.005	-1.268189480395534e-07	0	-1.268189480395534e-07
181	0.0305	0	-0.005	-1.123327378677345e-07	0	-1.123327378677345e-07
182	0.0315	0	-0.005	-1.029012238278882e-07	0	-1.029012238278882e-07
183	0.0325	0	-0.005	-8.304286525381255e-08	0	-8.304286525381255e-08
184	0.0335	0	-0.005	-8.56558287696968e-08	0	-8.56558287696968e-08
185	0.0345	0	-0.005	-7.547713601357992e-08	0	-7.547713601357992e-08
