#Row	GivenPot	Error
1	0	2.56366e-08
2	0	1.94705e-07
3	0	1.92907e-07
4	0	1.28947e-07
5	0	2.19747e-07
6	0	1.63157e-07
7	0	1.14734e-07
8	0	1.0643e-07
9	0	1.52813e-07
10	0	8.16621e-08
11	0	3.89749e-08
12	0	1.59878e-09
13	0	1.59741e-09
14	0	1.30045e-08
15	0	1.94121e-08
16	0	4.73793e-08
17	0	2.51276e-08
18	0	4.03219e-08
19	0	1.10639e-08
20	0	1.70554e-08
21	0	1.32311e-07
22	0	1.81672e-10
23	0	2.80083e-08
24	0	3.03371e-08
25	0	2.01181e-08
26	0	2.10684e-08
27	0	2.12714e-08
28	0	1.37959e-08
29	0	4.55429e-09
30	0	1.10085e-08
31	0	1.74418e-08
32	0	1.82256e-08
33	0	8.33768e-09
34	0	2.46837e-09
35	0	9.01036e-09
36	0	2.31921e-11
37	0	4.6515e-09
38	0	9.08472e-10
39	0	3.51395e-09
40	0	3.1223e-09
41	0	8.77537e-09
42	0	2.70745e-09
43	0	1.65247e-08
44	0	1.03812e-08
45	0	1.14377e-07
46	0	7.832e-09
47	0	3.73689e-10
48	0	2.82466e-09
49	0	3.0586e-08
50	0	1.54658e-08
51	0	1.07341e-08
52	0	8.27288e-09
53	0	2.44569e-07
54	0	4.15047e-08
55	0	1.6462e-08
56	0	1.63318e-08
57	0	3.93939e-08
58	0	1.57958e-08
59	0	5.65797e-09
60	0	1.05069e-08
61	0	1.89709e-07
62	0	5.94348e-08
63	0	2.86935e-08
64	0	2.12484e-08
65	0	5.1572e-08
66	0	3.69437e-09
67	0	7.39306e-10
68	0	1.68995e-09
69	0	7.02812e-09
70	0	9.6145e-10
71	0	3.46563e-09
72	0	2.6655e-09
73	0	4.13183e-09
74	0	1.27613e-09
75	0	4.38718e-10
76	0	3.91503e-09
77	0	3.65935e-09
78	0	5.85646e-09
79	0	6.77346e-09
80	0	4.20243e-09
81	0	7.43955e-09
82	0	5.24528e-09
83	0	6.34873e-09
84	0	6.48424e-09
85	0	5.33657e-09
86	0	7.66465e-09
87	0	6.89545e-09
88	0	4.67196e-09
89	0	2.25572e-07
90	0	3.95676e-09
91	0	2.15657e-08
92	0	1.54228e-09
93	0	3.76972e-07
94	0	4.21232e-09
95	0	2.33877e-09
96	0	9.81845e-09
97	0	9.46361e-08
98	0	2.82928e-08
99	0	1.8574e-08
100	0	2.21241e-08
101	0	1.4603e-07
102	0	1.6778e-07
103	0	1.48498e-07
104	0	1.45436e-07
105	0	1.23146e-07
106	0	1.23314e-07
107	0	9.43584e-08
108	0	1.12229e-07
109	0	9.46651e-08
110	0	1.07348e-07
111	0	8.9119e-08
112	0	8.18071e-08
113	0	6.59217e-08
114	0	7.70173e-08
115	0	6.48087e-08
116	0	6.42104e-08
117	0	4.31809e-08
118	0	6.47339e-08
119	0	4.76074e-08
120	0	4.53807e-08
121	0	3.00633e-08
122	0	5.2529e-08
123	0	3.58973e-08
124	0	4.17422e-08
125	0	3.66091e-08
126	0	3.61679e-08
127	0	3.14541e-08
128	0	2.91518e-08
129	0	1.86114e-08
130	0	1.84555e-08
131	0	2.18438e-08
132	0	1.78654e-08
133	0	1.77437e-08
134	0	6.72298e-09
135	0	1.00017e-08
136	0	1.14364e-08
137	0	4.96243e-10
138	0	5.37591e-09
139	0	2.80522e-09
140	0	1.61617e-09
141	0	7.30927e-09
142	0	4.89229e-09
143	0	5.4398e-09
144	0	9.36211e-09
145	0	7.464e-09
146	0	6.98435e-09
147	0	1.02601e-08
148	0	6.40853e-09
149	0	7.21263e-09
150	0	5.31588e-09
151	0	2.49361e-09
152	0	1.36243e-08
153	0	9.41361e-09
154	0	1.56514e-08
155	0	1.53633e-08
156	0	9.06311e-09
157	0	1.21054e-08
158	0	1.43722e-08
159	0	1.51331e-08
160	0	1.28825e-08
161	0	8.27015e-09
162	0	1.39578e-08
163	0	1.46312e-08
164	0	9.65986e-09
165	0	8.2473e-09
166	0	1.33095e-08
167	0	1.07894e-08
168	0	1.74242e-08
169	0	1.38211e-08
170	0	2.06845e-08
171	0	1.9159e-08
172	0	1.66594e-08
173	0	1.68884e-08
174	0	2.32075e-08
175	0	2.24405e-08
176	0	2.32625e-08
177	0	2.63194e-08
178	0	2.78003e-08
179	0	2.91388e-08
180	0	3.21719e-08
181	0	3.37806e-08
182	0	3.6797e-08
183	0	3.98518e-08
184	0	4.2734e-08
185	0	4.63573e-08
186	0	5.01065e-08
